member_id,full_name,first_name,last_name,constituency_name,party
4471,Rachael Maskell,Rachael,Maskell,York Central,Independent
4245,Paul Maskey,Paul,Maskey,Belfast West,Sinn Féin
4993,Keir Mather,Keir,Mather,Selby,Labour
5214,Brian Mathew,Brian,Mathew,Melksham and Devizes,Liberal Democrat
5141,Alex Mayer,Alex,Mayer,Dunstable and Leighton Buzzard,Labour
4739,Jerome Mayhew,Jerome,Mayhew,Broadland and Fakenham,Conservative
5325,Charlie Maynard,Charlie,Maynard,Witney,Liberal Democrat
5057,Douglas McAllister,Douglas,McAllister,West Dunbartonshire,Labour
1491,Kerry McCarthy,Kerry,McCarthy,Bristol East,Labour
5129,Martin McCluskey,Martin,McCluskey,Inverclyde and Renfrewshire West,Labour
193,Dame Siobhain McDonagh,Siobhain,McDonagh,Mitcham and Morden,Labour
4269,Andy McDonald,Andy,McDonald,Middlesbrough and Thornaby East,Labour
5116,Chris McDonald,Chris,McDonald,Stockton North,Labour
